"State","District","Date","Year","Month","Avg_etlvl_at15cm","Agency_name"
"Andhra Pradesh","Anantapur","2022-04-10","2022","04","0.199844267","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-11","2022","04","0.210785462","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-12","2022","04","0.203385955","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-13","2022","04","0.20612653","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-14","2022","04","0.188628293","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-15","2022","04","0.692656604","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-16","2022","04","0.428386706","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-17","2022","04","0.46240592","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-18","2022","04","0.441281289","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-19","2022","04","0.391165995","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-20","2022","04","1.808335575","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-21","2022","04","0.549034783","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-23","2022","04","0.474734389","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-24","2022","04","0.495288699","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-25","2022","04","0.444117182","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-26","2022","04","0.456599852","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-27","2022","04","0.565845034","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-28","2022","04","0.447704117","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-29","2022","04","0.431276666","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-30","2022","04","0.408580929","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-01","2022","04","0.479638614","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-02","2022","04","0.43999645","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-03","2022","04","0.433871513","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-04","2022","04","0.425139821","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-05","2022","04","0.414270467","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-06","2022","04","0.404492084","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-07","2022","04","0.387500858","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-08","2022","04","0.371446239","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-09","2022","04","0.353761722","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-10","2022","04","0.320010081","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-11","2022","04","0.33568458","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-12","2022","04","0.318918659","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-13","2022","04","0.300031832","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-14","2022","04","0.295463361","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-15","2022","04","1.245375755","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-16","2022","04","0.70114088","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-17","2022","04","1.164886589","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-18","2022","04","0.689113297","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-19","2022","04","0.662435787","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-20","2022","04","0.998066433","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-21","2022","04","0.64774832","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-22","2022","04","0.6046309","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-23","2022","04","0.556196844","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-24","2022","04","0.448663115","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-25","2022","04","0.463472534","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-26","2022","04","0.4283606","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-27","2022","04","0.387882074","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-28","2022","04","0.437924618","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-29","2022","04","0.425008064","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-04-30","2022","04","0.386768241","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-01","2022","04","0.514165518","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-02","2022","04","0.46782039","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-03","2022","04","0.871848791","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-04","2022","04","0.667518628","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-05","2022","04","0.637471331","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-06","2022","04","0.757291688","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-07","2022","04","0.552273005","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-08","2022","04","0.510553797","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-09","2022","04","0.484590921","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-10","2022","04","0.445815499","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-11","2022","04","0.971328287","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-12","2022","04","0.432563306","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-13","2022","04","0.39925255","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-14","2022","04","0.371985821","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-15","2022","04","0.342007304","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-16","2022","04","0.31630031","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-17","2022","04","0.327984415","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-18","2022","04","0.407245135","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-19","2022","04","0.575782293","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-20","2022","04","1.325784117","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-21","2022","04","0.544635849","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-22","2022","04","0.519419328","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-23","2022","04","0.47417025","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-24","2022","04","0.383666834","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-25","2022","04","0.470729928","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-26","2022","04","1.075098926","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-27","2022","04","0.821953829","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-28","2022","04","0.699822572","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-29","2022","04","1.386589532","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-04-30","2022","04","0.691556757","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-01","2022","04","0.212422984","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-02","2022","04","0.20657901","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-03","2022","04","0.190273355","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-04","2022","04","0.184714646","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-05","2022","04","0.181085205","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-06","2022","04","0.186607404","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-07","2022","04","0.179579635","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-08","2022","04","0.180589528","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-09","2022","04","0.169783582","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-10","2022","04","0.162380018","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-11","2022","04","0.174819643","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-12","2022","04","0.167482543","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-13","2022","04","0.163523995","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-14","2022","04","0.151555203","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-15","2022","04","0.135919921","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-16","2022","04","0.2169633","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-17","2022","04","0.633834435","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-18","2022","04","0.243730225","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-19","2022","04","0.185819175","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-20","2022","04","0.151267873","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-21","2022","04","0.148965494","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-22","2022","04","0.136253006","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-23","2022","04","0.134745552","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-24","2022","04","0.114817467","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-25","2022","04","0.109593362","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-26","2022","04","0.127443074","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-27","2022","04","0.109351155","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-28","2022","04","0.104664351","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-29","2022","04","0.10429468","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-04-30","2022","04","0.104987399","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-11","2022","04","0.137740841","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-26","2022","04","0.111596816","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-01","2022","04","0.191494115","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-02","2022","04","0.204277973","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-03","2022","04","0.18759467","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-04","2022","04","0.176100103","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-05","2022","04","0.172846723","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-06","2022","04","0.178210052","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-07","2022","04","0.173508616","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-08","2022","04","0.168711224","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-09","2022","04","0.153403907","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-10","2022","04","0.147694455","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-12","2022","04","0.130872253","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-13","2022","04","0.125575464","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-14","2022","04","0.119971407","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-15","2022","04","0.105691509","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-16","2022","04","0.128438279","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-17","2022","04","0.125469669","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-18","2022","04","0.14360942","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-19","2022","04","0.109275388","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-20","2022","04","0.129644947","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-21","2022","04","0.13840011","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-22","2022","04","0.121609525","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-23","2022","04","0.118566617","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-24","2022","04","0.114622742","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-25","2022","04","0.118900536","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-27","2022","04","0.150059773","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-28","2022","04","0.128035782","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-29","2022","04","0.123990064","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-04-30","2022","04","0.123391414","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-01","2022","04","0.158125944","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-02","2022","04","0.141236562","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-03","2022","04","0.464254952","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-04","2022","04","0.296254186","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-05","2022","04","0.254201197","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-06","2022","04","0.241566391","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-07","2022","04","0.225170156","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-08","2022","04","0.210743319","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-09","2022","04","0.192444973","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-10","2022","04","0.175247828","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-11","2022","04","0.202787146","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-12","2022","04","0.190838314","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-13","2022","04","0.187904561","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-14","2022","04","0.177209533","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-15","2022","04","0.183781519","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-16","2022","04","0.240255328","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-17","2022","04","0.565240103","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-18","2022","04","0.591754159","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-19","2022","04","0.577637693","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-20","2022","04","0.931289823","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-21","2022","04","0.502503823","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-22","2022","04","0.433558962","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-23","2022","04","0.408947658","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-24","2022","04","0.426427463","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-25","2022","04","0.414632553","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-26","2022","04","0.367820349","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-27","2022","04","0.621432935","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-28","2022","04","0.423457083","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-29","2022","04","1.066403272","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-04-30","2022","04","0.457478883","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-01","2022","04","0.312047405","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-02","2022","04","0.297832795","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-03","2022","04","0.271227449","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-04","2022","04","0.27461113","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-05","2022","04","0.259880745","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-06","2022","04","0.267439813","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-07","2022","04","0.257410115","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-08","2022","04","0.26178887","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-09","2022","04","0.236744174","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-10","2022","04","0.225142318","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-11","2022","04","0.241371459","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-12","2022","04","0.222531498","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-13","2022","04","0.212395246","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-14","2022","04","0.202533615","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-15","2022","04","0.188830992","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-16","2022","04","0.272896365","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-17","2022","04","0.582581051","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-18","2022","04","0.262179611","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-19","2022","04","0.280050489","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-20","2022","04","0.22347132","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-21","2022","04","0.249633292","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-04-22","2022","04","0.200002814","NRSC VIC MODEL"
